Name,Address,Type ,Bed,Phone,Web,County,X,Y
MENDOTA MENTAL HEALTH INSTITUTE,"301 TROY DR, MADISON, WI 53704",PSYCH,394,(608)301-1000,https://www.dhs.wisconsin.gov/mmhi/index.htm,Dane,-89.4011391,43.1324688
SELECT SPECIALTY HOSPITAL MADISON,"801 BRAXTON PLACE, MADISON, WI 53715",LT,58,(608)260-2700,https://www.selectspecialtyhospitals.com/locations-and-tours/wi/madison/madison/,Dane,-89.4026401,43.0659369
SSM HEALTH ST MARY'S HOSPITAL - MADISON,"700 SOUTH PARK ST, MADISON, WI 53715",ACUTE,440,(608)251-6100,https://www.ssmhealth.com/locations/wisconsin/st-marys-hospital-madison,Dane,-89.4056326,43.0593048
UNITYPOINT HEALTH - MERITER,"202 S PARK ST, MADISON, WI 53715",ACUTE,389,(608)417-6000,https://www.unitypoint.org/locations/unitypoint-health---meriter-hospital,Dane,-89.4033619,43.0657322
UNITYPOINT HEALTH MERITER CHILD & ADOLESCENT PSYCH,"8102 WELLNESS WAY, MADISON, WI 53719",SATELLITE,30,(608)417-5421,https://www.unitypoint.org/locations/unitypoint-health---meriter---child--adolescent-psychiatry,Dane,-89.4968877,43.0555506
UNIVERSITY OF WI HOSPITALS & CLINICS AUTHORITY,"600 HIGHLAND AVENUE, MADISON, WI 53792",ACUTE,685,(608)263-6400,https://www.uwhealth.org/locations/university-hospital-170,Dane,-89.5082486,43.0763243
UNIVERSITY OF WISCONSIN HOSPITALS AND CLINICS,"600 HIGHLAND AVENUE, MADISON, WI 53792",TRANSPLANT,,(608)265-7050,https://www.uwhealth.org/,Dane,-89.4346219,43.0763242
UW HEALTH REHABILITATION HOSPITAL,"5115 N BILTMORE LN, MADISON, WI 53718",REHAB,50,(608)592-8100,https://www.uwhealthrehabhospital.com/,Dane,-89.4372129,43.0763241
MIRAMONT BEHAVIORAL HEALTH,"3169 DEMING WAY, MIDDLETON, WI 53562",PSYCH,72,(608)716-8288,https://miramontbh.com/,Dane,-89.5295471,43.1069421
STOUGHTON HOSPITAL,"900 RIDGE ST, STOUGHTON, WI 53589",CAH,35,(608)873-6611,https://stoughtonhealth.com/,Dane,-89.2136287,42.9204417
